,Date,hot_region,ConfirmedCases,Fatalities
0,2020-03-22,1,40.0,1.0
1,2020-03-24,1,74.0,1.0
2,2020-03-25,1,84.0,2.0
3,2020-03-26,1,94.0,4.0
4,2020-03-27,1,110.0,4.0
5,2020-03-29,1,120.0,4.0
6,2020-03-30,1,170.0,4.0
7,2020-03-31,1,174.0,4.0
8,2020-04-01,1,237.0,4.0
9,2020-04-02,1,273.0,6.0
10,2020-04-03,1,281.0,6.0
11,2020-04-04,1,299.0,7.0
12,2020-04-05,1,349.0,7.0
13,2020-04-06,1,367.0,11.0
14,2020-04-07,1,423.0,14.0
15,2020-04-08,1,444.0,14.0
16,2020-04-09,1,484.0,15.0
17,2020-04-10,1,521.0,15.0
18,2020-04-11,1,555.0,18.0
19,2020-04-12,1,607.0,18.0
20,2020-04-13,1,665.0,21.0
21,2020-04-14,1,714.0,23.0
22,2020-04-15,1,763.8932973146439,23.0
23,2020-04-16,1,813.3330493704403,23.0
24,2020-04-17,1,862.120017682176,23.0
25,2020-04-18,1,909.4959508053153,23.0
26,2020-04-19,1,955.5018456068827,23.0
27,2020-04-20,1,1000.63588823638,23.0
28,2020-04-21,1,1045.2805595327136,23.0
29,2020-04-22,1,1089.6046033516104,23.0
30,2020-04-23,1,1133.7420933521512,23.0
31,2020-04-24,1,1177.7048035629061,23.0
32,2020-04-25,1,1221.3992390926064,23.0
33,2020-04-26,1,1264.7286353233465,23.0
34,2020-04-27,1,1307.6372508631966,23.0
35,2020-04-28,1,1350.0968624357513,23.0
36,2020-04-29,1,1392.1087291607816,23.0
37,2020-04-30,1,1433.6975728604425,23.0
38,2020-05-01,1,1474.8923576097052,23.0
39,2020-05-02,1,1515.7142333170734,23.0
40,2020-05-03,1,1556.1755759889802,23.0
41,2020-05-04,1,1596.280794937679,23.0
42,2020-05-05,1,1636.0285425069305,23.0
43,2020-05-06,1,1675.4158048935003,23.0
44,2020-05-07,1,1714.4409964854387,23.0
45,2020-05-08,1,1753.1048543935349,23.0
46,2020-05-09,1,1791.4102586829415,23.0
47,2020-05-10,1,1829.361550884641,23.0
48,2020-05-11,1,1866.9635563495624,23.0
49,2020-05-12,1,1904.2208031317175,23.0
50,2020-05-13,1,1941.1371916888947,23.0
51,2020-05-14,1,1977.716009886716,23.0
52,2020-03-09,2,2.0,0.0
53,2020-03-10,2,10.0,0.0
54,2020-03-11,2,12.0,1.0
55,2020-03-12,2,23.0,1.0
56,2020-03-13,2,33.0,1.0
57,2020-03-14,2,38.0,1.0
58,2020-03-15,2,42.0,1.0
59,2020-03-16,2,51.0,1.0
60,2020-03-17,2,55.0,1.0
61,2020-03-18,2,59.0,2.0
62,2020-03-19,2,64.0,2.0
63,2020-03-20,2,70.0,2.0
64,2020-03-21,2,76.0,2.0
65,2020-03-22,2,89.0,2.0
66,2020-03-23,2,104.0,4.0
67,2020-03-24,2,123.0,5.0
68,2020-03-25,2,146.0,5.0
69,2020-03-26,2,174.0,6.0
70,2020-03-27,2,186.0,8.0
71,2020-03-28,2,197.0,10.0
72,2020-03-29,2,212.0,10.0
73,2020-03-30,2,223.0,11.0
74,2020-03-31,2,243.0,15.0
75,2020-04-01,2,259.0,15.0
76,2020-04-02,2,277.0,16.0
77,2020-04-03,2,304.0,17.0
78,2020-04-04,2,333.0,20.0
79,2020-04-05,2,361.0,20.0
80,2020-04-06,2,377.0,21.0
81,2020-04-07,2,383.0,22.0
82,2020-04-08,2,400.0,22.0
83,2020-04-09,2,409.0,23.0
84,2020-04-10,2,416.0,23.0
85,2020-04-11,2,433.0,23.0
86,2020-04-12,2,446.0,23.0
87,2020-04-13,2,467.0,23.0
88,2020-04-14,2,475.0,24.0
89,2020-04-15,2,482.7129430770874,24.0
90,2020-04-16,2,490.0319624390122,24.0
91,2020-04-17,2,496.99240245667715,24.0
92,2020-04-18,2,503.5766076761384,24.0
93,2020-04-19,2,509.72601213307,24.0
94,2020-04-20,2,515.4579291942191,24.0
95,2020-04-21,2,520.8271494124871,24.0
96,2020-04-22,2,525.8754245198587,24.0
97,2020-04-23,2,530.6408888285738,24.0
98,2020-04-24,2,535.1619064569363,24.0
99,2020-04-25,2,539.4616002567502,24.0
100,2020-04-26,2,543.5480012872429,24.0
101,2020-04-27,2,547.4240012867798,24.0
102,2020-04-28,2,551.0914346488256,24.0
103,2020-04-29,2,554.5524582413973,24.0
104,2020-04-30,2,557.8127198822834,24.0
105,2020-05-01,2,560.8825776600294,24.0
106,2020-05-02,2,563.775285131834,24.0
107,2020-05-03,2,566.5048088981778,24.0
108,2020-05-04,2,569.0843160520714,24.0
109,2020-05-05,2,571.5250087011373,24.0
110,2020-05-06,2,573.8356195040337,24.0
111,2020-05-07,2,576.0227726709719,24.0
112,2020-05-08,2,578.0917662040175,24.0
113,2020-05-09,2,580.0473450318724,24.0
114,2020-05-10,2,581.8943137597588,24.0
115,2020-05-11,2,583.6378852758263,24.0
116,2020-05-12,2,585.283704661938,24.0
117,2020-05-13,2,586.8376321608993,24.0
118,2020-05-14,2,588.3054386184938,24.0
119,2020-02-25,3,1.0,0.0
120,2020-03-02,3,3.0,0.0
121,2020-03-03,3,5.0,0.0
122,2020-03-04,3,12.0,0.0
123,2020-03-06,3,17.0,0.0
124,2020-03-08,3,19.0,0.0
125,2020-03-09,3,20.0,0.0
126,2020-03-12,3,24.0,1.0
127,2020-03-13,3,26.0,2.0
128,2020-03-14,3,37.0,3.0
129,2020-03-15,3,48.0,4.0
130,2020-03-16,3,54.0,4.0
131,2020-03-17,3,60.0,4.0
132,2020-03-18,3,74.0,7.0
133,2020-03-19,3,87.0,9.0
134,2020-03-20,3,90.0,11.0
135,2020-03-21,3,139.0,15.0
136,2020-03-22,3,201.0,17.0
137,2020-03-23,3,230.0,17.0
138,2020-03-24,3,264.0,19.0
139,2020-03-25,3,302.0,21.0
140,2020-03-26,3,367.0,25.0
141,2020-03-27,3,409.0,26.0
142,2020-03-28,3,454.0,29.0
143,2020-03-29,3,511.0,31.0
144,2020-03-30,3,584.0,35.0
145,2020-03-31,3,716.0,44.0
146,2020-04-01,3,847.0,58.0
147,2020-04-02,3,986.0,86.0
148,2020-04-03,3,1171.0,105.0
149,2020-04-04,3,1251.0,130.0
150,2020-04-05,3,1320.0,152.0
151,2020-04-06,3,1423.0,173.0
152,2020-04-07,3,1468.0,193.0
153,2020-04-08,3,1572.0,205.0
154,2020-04-09,3,1666.0,235.0
155,2020-04-10,3,1761.0,256.0
156,2020-04-11,3,1825.0,275.0
157,2020-04-12,3,1914.0,293.0
158,2020-04-13,3,1983.0,313.0
159,2020-04-14,3,2070.0,326.0
160,2020-04-15,3,2155.059904754162,326.0
161,2020-04-16,3,2237.3304210103906,326.0
162,2020-04-17,3,2315.633339827095,326.0
163,2020-04-18,3,2389.5134024979275,326.0
164,2020-04-19,3,2459.3217692242524,326.0
165,2020-04-20,3,2525.825126615352,326.0
166,2020-04-21,3,2589.639946875861,326.0
167,2020-04-22,3,2651.231957859337,326.0
168,2020-04-23,3,2710.8640486915965,326.0
169,2020-04-24,3,2768.598074189922,326.0
170,2020-04-25,3,2824.3774751892156,326.0
171,2020-04-26,3,2878.13364302505,326.0
172,2020-04-27,3,2929.829361585092,326.0
173,2020-04-28,3,2979.4793925507693,326.0
174,2020-04-29,3,3027.153734625465,326.0
175,2020-04-30,3,3072.9581878753306,326.0
176,2020-05-01,3,3117.005759774539,326.0
177,2020-05-02,3,3159.398440781977,326.0
178,2020-05-03,3,3200.2195553574925,326.0
179,2020-05-04,3,3239.5332205935297,326.0
180,2020-05-05,3,3277.389367503713,326.0
181,2020-05-06,3,3313.8311902397277,326.0
182,2020-05-07,3,3348.901074318407,326.0
183,2020-05-08,3,3382.643700463736,326.0
184,2020-05-09,3,3415.106733883598,326.0
185,2020-05-10,3,3446.3397269346697,326.0
186,2020-05-11,3,3476.3921887374463,326.0
187,2020-05-12,3,3505.3118483517383,326.0
188,2020-05-13,3,3533.143648393745,326.0
189,2020-05-14,3,3559.9295041371333,326.0
190,2020-03-02,4,1.0,0.0
191,2020-03-16,4,2.0,0.0
192,2020-03-17,4,39.0,0.0
193,2020-03-19,4,53.0,0.0
194,2020-03-20,4,75.0,0.0
195,2020-03-21,4,88.0,0.0
196,2020-03-22,4,113.0,1.0
197,2020-03-23,4,133.0,1.0
198,2020-03-24,4,164.0,1.0
199,2020-03-25,4,188.0,1.0
200,2020-03-26,4,224.0,3.0
201,2020-03-27,4,267.0,3.0
202,2020-03-28,4,308.0,3.0
203,2020-03-29,4,334.0,6.0
204,2020-03-30,4,370.0,8.0
205,2020-03-31,4,376.0,12.0
206,2020-04-01,4,390.0,14.0
207,2020-04-02,4,428.0,15.0
208,2020-04-03,4,439.0,16.0
209,2020-04-04,4,466.0,17.0
210,2020-04-05,4,501.0,18.0
211,2020-04-06,4,525.0,21.0
212,2020-04-07,4,545.0,22.0
213,2020-04-08,4,564.0,23.0
214,2020-04-09,4,583.0,25.0
215,2020-04-10,4,601.0,26.0
216,2020-04-12,4,638.0,29.0
217,2020-04-13,4,646.0,29.0
218,2020-04-14,4,659.0,31.0
219,2020-04-15,4,671.1294846534729,31.0
220,2020-04-16,4,682.7756961419831,31.0
221,2020-04-17,4,694.127456015697,31.0
222,2020-04-18,4,705.2619647991652,31.0
223,2020-04-19,4,716.1187396225273,31.0
224,2020-04-20,4,726.6580376275995,31.0
225,2020-04-21,4,736.9453223189856,31.0
226,2020-04-22,4,746.9864155965341,31.0
227,2020-04-23,4,756.7736143881743,31.0
228,2020-04-24,4,766.3204310749597,31.0
229,2020-04-25,4,775.6409000168281,31.0
230,2020-04-26,4,784.7346645397757,31.0
231,2020-04-27,4,793.6047319483658,31.0
232,2020-04-28,4,802.2578510974369,31.0
233,2020-04-29,4,810.6985524968393,31.0
234,2020-04-30,4,818.9306781311051,31.0
235,2020-05-01,4,826.9598849962317,31.0
236,2020-05-02,4,834.7918406648108,31.0
237,2020-05-03,4,842.4314698425221,31.0
238,2020-05-04,4,849.8836570730223,31.0
239,2020-05-05,4,857.1532429705509,31.0
240,2020-05-06,4,864.2446749604409,31.0
241,2020-05-07,4,871.1621778396793,31.0
242,2020-05-08,4,877.9099412293442,31.0
243,2020-05-09,4,884.4920734332201,31.0
244,2020-05-10,4,890.9125886541079,31.0
245,2020-05-11,4,897.1754510088202,31.0
246,2020-05-12,4,903.2845603364116,31.0
247,2020-05-13,4,909.2437182134313,31.0
248,2020-05-14,4,915.056625526787,31.0
249,2020-03-20,5,1.0,0.0
250,2020-03-21,5,2.0,0.0
251,2020-03-23,5,3.0,0.0
252,2020-03-26,5,4.0,0.0
253,2020-03-28,5,5.0,0.0
254,2020-03-29,5,7.0,2.0
255,2020-04-01,5,8.0,2.0
256,2020-04-04,5,10.0,2.0
257,2020-04-05,5,14.0,2.0
258,2020-04-06,5,16.0,2.0
259,2020-04-07,5,17.0,2.0
260,2020-04-08,5,19.0,2.0
261,2020-04-15,5,21.01085519790649,2.0
262,2020-04-16,5,22.989223343050927,2.0
263,2020-04-17,5,24.935113509250087,2.0
264,2020-04-18,5,26.85885048188457,2.0
265,2020-04-19,5,28.76467423907181,2.0
266,2020-04-20,5,30.64679392977912,2.0
267,2020-04-21,5,32.508600070074074,2.0
268,2020-04-22,5,34.351458135120396,2.0
269,2020-04-23,5,36.17420374542892,2.0
270,2020-04-24,5,37.97631642789706,2.0
